"unique_id","prim_source","borehole","sample_name","test_name","top","bottom","grain_size_curve","mass_fraction_of_gravel_in_soil","mass_fraction_of_sand_in_soil","mass_fraction_of_silt_in_soil","mass_fraction_of_clay_in_soil","mass_fraction_of_fines_in_soil","loss_on_ignition","LL","PL","IP","D10","D50","D60","soil_description","ground_ice_description","soil_group","USCS_symbol_rep_or_calc","sample_mass_init","mass_of_dry_sample","gravimetric_wc_init","gravimetric_wc_fin","sample_volume_init","solid_grain_density_rpt_or_asm","initial_degree_of_saturation_rep","sample_height_ave_or_typ","sample_diameter_ave_or_typ","frozen_bulk_density_rep","frozen_dry_density_calc","final_bulk_density_rep","reported_test_result_type","volumetric_wc_calc","frozen_void_ratio_calc","loading_steps_count","sigma_v_min","sigma_v_max","num_of_swelling_loading_step","swelling_flag","A0","a0","R_sq","Cc","sigma_v_th","e_th","R_sq_semilog","ice_level","phase_change_strain","excess_water_strain","soil_compression_strain_at_100_kpa","total_strain_at_100_kpa","data_quality_flag","note"
"CEN-011","CEN","INU_2014_F2","INU_2014_F2_198-210","INU_2014_F2_198-210",1.98,2.1,TRUE,0.04,39.97,NA,NA,59.98,NA,"16.095","10.947","5.148",NA,NA,NA,NA,NA,"Fine-grained","CL+ML",1843.48,1488.72,23.83,NA,976.09,2.65,NA,123.44,99.99,1888.6,1525.2,NA,"strain-sigma_v",36.3444544940644,0.737527798369162,3,25,100,3,TRUE,0.67,-2.19767164158122e-18,0.538461538461538,-3.19397188665882e-16,Inf,-Inf,0.666666666666666,"Ice-poor",3.51,Inf,-Inf,NA,"0","Deformation measurements was not available"
"CEN-012","CEN","INU_2014_F2","INU_2014_F2_217-227","INU_2014_F2_217-227",2.17,2.27,TRUE,0.1,55.2,NA,NA,44.7,NA,"12.618","10.553","2.065",0.014,0.093,0.115,NA,NA,"Coarse-grained","SM or SC",1446.19,1191.14,21.41,NA,748.57,2.65,NA,100.88,97.24,1931.9,1591.2,NA,"delta_h-sigma_v",34.0680166378387,0.665388995289611,3,25,100,0,FALSE,9.55,0.0465714285714286,0.975223902510644,-0.0996578428466212,1.594768096891,0.610448619531753,0.999629766753054,"Ice-poor",3.3,0,10.76,14.06,"2",NA
"CEN-013","CEN","INU_2014_F2","INU_2014_F2_227-237","INU_2014_F2_227-237",2.27,2.37,TRUE,0.04,46.7,NA,NA,53.26,NA,"12.395","10.843","1.552",NA,NA,NA,NA,NA,"Fine-grained","ML",1368.83,1132.44,20.87,NA,713.523,2.65,NA,97.14,95.95,1918.4,1587.1,NA,"delta_h-sigma_v",33.1240241581865,0.669649186822352,3,25,100,0,FALSE,6.45,0.0665714285714286,0.907296610736012,-0.146164836175045,7.87156479897286,0.614357052130598,0.986245542536933,"Ice-poor",3.31,0,9.66,12.97,"2",NA
"CEN-014","CEN","INU_2014_F2","INU_2014_F2_237-247","INU_2014_F2_237-247",2.37,2.47,TRUE,2.99,46.83,NA,NA,50.17,NA,"10.542","10.443","0.099",NA,NA,NA,NA,NA,"Fine-grained","ML",1411.42,1186.07,19,NA,733.09,2.65,NA,96.35,97.04,1925.3,1617.9,NA,"delta_h-sigma_v",30.7400840336134,0.637926556900223,3,25,100,0,FALSE,7.85,0.0551428571428571,0.90069155624335,-0.119589411415945,4.17777351818803,0.58525372192681,0.983805668016194,"Ice-poor",3.22,0,10.07,13.29,"2",NA
"CEN-015","CEN","INU_2014_F2","INU_2014_F2_260-270","INU_2014_F2_260-270",2.6,2.7,TRUE,0.94,42.47,NA,NA,56.59,NA,"21.059","11.233","9.825",NA,NA,NA,NA,NA,"Fine-grained","CL",1383.89,1162.48,19.05,NA,702.58,2.65,NA,99.68,94.49,1969.7,1654.6,NA,"delta_h-sigma_v",31.5185090298194,0.601677920495507,3,25,100,0,FALSE,39.45,0.0648571428571429,0.940378859770787,-0.134538087842938,1,0.13790950901921,0.99751672410298,"Ice-rich",3.1,25.85,16.8,45.75,"0","Erroneous data (negative values for void ratio)"
"CEN-016","CEN","INU_2014_F2","INU_2014_F2_270-279","INU_2014_F2_270-279",2.7,2.79,TRUE,0.19,44.61,NA,NA,55.19,NA,"13.71","12.24","1.47",NA,NA,NA,NA,NA,"Fine-grained","ML",1302.66,1081.14,20.49,NA,670.39,2.65,NA,88.85,97.34,1943.1,1612.7,NA,"delta_h-sigma_v",33.0435048551747,0.643242756420153,3,25,100,0,FALSE,2.05,0.0751428571428572,0.977570806716038,-0.15779158450715,23.2529936229745,0.590130969192801,0.998193481787347,"Ice-poor",3.23,0,6.08,9.31,"2",NA
"CEN-017","CEN","INU_2014_F2","INU_2014_F2_282-292","INU_2014_F2_282-292",2.82,2.92,TRUE,0.69,42.56,NA,NA,56.75,NA,"13.465","10.853","2.612",NA,NA,NA,NA,NA,"Fine-grained","ML",1533.13,1268.9,20.82,NA,812.48,2.65,NA,105.45,97.23,1887,1561.8,NA,"delta_h-sigma_v",32.5172487998676,0.696730259671436,3,25,100,0,FALSE,26.2,0.0817142857142855,0.862244897959185,-0.186027973313692,1,0.487722613294052,0.963046371174122,"Ice-rich",3.39,8.93,21.93,34.25,"2",NA
"CEN-018","CEN","INU_2014_F2","INU_2014_F2_292-302","INU_2014_F2_292-302",2.92,3.02,TRUE,0.21,43.03,NA,NA,56.76,NA,"16.299","13.153","3.146",NA,NA,NA,NA,NA,"Fine-grained","ML",1340.56,1083.95,23.67,NA,720.23,2.65,NA,92.43,98.28,1861.3,1505,NA,"delta_h-sigma_v",35.6246227864478,0.760734432923226,3,25,100,0,FALSE,4.95,0.0488571428571428,0.964285714285714,-0.111284591178727,10.6837321645861,0.697921498094702,0.99992574992575,"Ice-poor",3.57,0,6.14,9.71,"2",NA
"CEN-019","CEN","INU_2014_F2","INU_2014_F2_302-312","INU_2014_F2_302-312",3.02,3.12,TRUE,0.1,53.03,NA,NA,46.87,NA,"11.557","10.277","1.28",0.014,0.089,0.106,NA,NA,"Coarse-grained","SM or SC",1547.94,1284.92,20.47,NA,788.14,2.65,NA,99.49,99.83,1964,1630.3,NA,"delta_h-sigma_v",33.3718602141612,0.625486252545825,3,25,100,1,TRUE,4.95,-0.0225714285714286,0.304083024751511,0.0332192809488734,84.1319992691718,0.573840598665894,0.151438667339727,"Ice-poor",3.18,0,-0.15,3.03,"0","Erroneous data (thaw strain reduction or void ratio increase with vertical stress)"
"CEN-020","CEN","INU_2014_F2","INU_2014_F2_316-326","INU_2014_F2_316-326",3.16,3.26,TRUE,0.07,60.18,NA,NA,39.74,NA,"12.325","9.98","2.345",0.014,0.107,0.13,NA,NA,"Coarse-grained","SM or SC",1421.85,1157.33,22.86,NA,743.03,2.65,NA,100.79,96.61,1913.6,1557.6,NA,"delta_h-sigma_v",35.6054826631939,0.701395275919733,3,25,100,0,FALSE,7.75,0.0757142857142857,0.814561777942746,-0.174401224981587,7.00934789232113,0.643481904513516,0.937393719532932,"Ice-poor",3.41,0,11.83,15.24,"2",NA
