"borehole","prim_source","long","lat","site","source_id","data_source"
"GR_2017_F2","CEN",-65.962,58.699,"Kangiqsualujjuaq, Nunavik, QC","CEN_2020b","Aubé-michaud, S., Chiasson, A., Allard, M., St-amour, A. B., Mathon-Dufour, V., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kangiqsualujjuaq, Québec, 121 pp., 2020."
"GR_2017_F5","CEN",-65.968,58.7,"Kangiqsualujjuaq, Nunavik, QC","CEN_2020b","Aubé-michaud, S., Chiasson, A., Allard, M., St-amour, A. B., Mathon-Dufour, V., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kangiqsualujjuaq, Québec, 121 pp., 2020."
"WB_2014_F2","CEN",-71.956,61.592,"Kangiqsujuaq, Nunavik, QC","CEN_2020e","Chiasson, A., Allard, M., St-amour, A. B., Mathon-Dufour, V., Aubé-michaud, S., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kangiqsujuaq, Québec, 109 pp., 2020."
"WB_2017_F1","CEN",-71.938,61.602,"Kangiqsujuaq, Nunavik, QC","CEN_2020e","Chiasson, A., Allard, M., St-amour, A. B., Mathon-Dufour, V., Aubé-michaud, S., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kangiqsujuaq, Québec, 109 pp., 2020."
"KUU_2014_F1","CEN",-68.384,58.127,"Kuujjuaq, Nunavik, QC","CEN_2020d","Chiasson, A., Allard, M., Aubé-michaud, S., St-amour, A. B., Mathon-Dufour, V., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kuujjuaq, Québec, 96 pp., 2020."
"KUU_2014_F2","CEN",-68.386,58.116,"Kuujjuaq, Nunavik, QC","CEN_2020d","Chiasson, A., Allard, M., Aubé-michaud, S., St-amour, A. B., Mathon-Dufour, V., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kuujjuaq, Québec, 96 pp., 2020."
"KUU_2014_F3","CEN",-68.39,58.113,"Kuujjuaq, Nunavik, QC","CEN_2020d","Chiasson, A., Allard, M., Aubé-michaud, S., St-amour, A. B., Mathon-Dufour, V., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kuujjuaq, Québec, 96 pp., 2020."
"DC_BH02","ODS",-139.317,64.032,"Dawson City","YU_2015c","Benkert, B., Kennedy, K., Fortier, D., Lewkowicz, A. G., Roy, L.-P., Grandmont, K., de Grandpré, I., McKenna, K. M., and Moote, K.: Dawson City landscape hazards: Geoscience mapping for climate change adaptation planning, 2015."
"DC_BH03","ODS",-139.443,64.084,"Dawson City","YU_2015c","Benkert, B., Kennedy, K., Fortier, D., Lewkowicz, A. G., Roy, L.-P., Grandmont, K., de Grandpré, I., McKenna, K. M., and Moote, K.: Dawson City landscape hazards: Geoscience mapping for climate change adaptation planning, 2015."
"DC_BH04","ODS",-139.482,64.045,"Dawson City","YU_2015c","Benkert, B., Kennedy, K., Fortier, D., Lewkowicz, A. G., Roy, L.-P., Grandmont, K., de Grandpré, I., McKenna, K. M., and Moote, K.: Dawson City landscape hazards: Geoscience mapping for climate change adaptation planning, 2015."
"FAR0_BH01","ODS",-133.422,62.221,"Faro, YT","YU_2015b","Benkert, B., Fortier, D., Lipovsky, P. S., Lewkowicz, A. G., Roy, L.-P., de Grandpré, I., Grandmont, K., Turner, D. G., Laxton, S., and Moote, K.: Faro Landscape Hazards: Geoscience Mapping for Climate Change Adaptation Planning, 2015."
"FAR0_BH02","ODS",-133.339,62.224,"Faro, YT","YU_2015b","Benkert, B., Fortier, D., Lipovsky, P. S., Lewkowicz, A. G., Roy, L.-P., de Grandpré, I., Grandmont, K., Turner, D. G., Laxton, S., and Moote, K.: Faro Landscape Hazards: Geoscience Mapping for Climate Change Adaptation Planning, 2015."
"FAR0_BH05","ODS",-133.409,62.198,"Faro, YT","YU_2015b","Benkert, B., Fortier, D., Lipovsky, P. S., Lewkowicz, A. G., Roy, L.-P., de Grandpré, I., Grandmont, K., Turner, D. G., Laxton, S., and Moote, K.: Faro Landscape Hazards: Geoscience Mapping for Climate Change Adaptation Planning, 2015."
"RR_BH01","ODS",-132.452,61.978,"Ross River, YT","YU_2015a","Benkert, B., Fortier, D., Lipovsky, P. S., Lewkowicz, A. G., de Grandpré, I., Grandmont, K., Turner, D. G., Laxton, S., Moote, K., and Roy, L.-P.: Ross River landscape hazards: Geoscience mapping for climate change adaptation planning, 2015."
"RR_BH02","ODS",-132.437,61.964,"Ross River, YT","YU_2015a","Benkert, B., Fortier, D., Lipovsky, P. S., Lewkowicz, A. G., de Grandpré, I., Grandmont, K., Turner, D. G., Laxton, S., Moote, K., and Roy, L.-P.: Ross River landscape hazards: Geoscience mapping for climate change adaptation planning, 2015."
"Site 7 BH","ODS",-139.836,67.57,"Old Crow, YT","YU_2016","Benkert, B., Kennedy, K., Fortier, D., Lewkowicz, A. G., Roy, L.-P., de Grandpré, I., Grandmont, K., Drukis, S., Colpron, M., and Light, E.: Old Crow landscape hazards: Geoscience mapping for climate change adaptation planning, 2016."
"Site 8 BH","ODS",-139.844,67.57,"Old Crow, YT","YU_2016","Benkert, B., Kennedy, K., Fortier, D., Lewkowicz, A. G., Roy, L.-P., de Grandpré, I., Grandmont, K., Drukis, S., Colpron, M., and Light, E.: Old Crow landscape hazards: Geoscience mapping for climate change adaptation planning, 2016."
"Site 9 BH","ODS",-139.838,67.572,"Old Crow, YT","YU_2016","Benkert, B., Kennedy, K., Fortier, D., Lewkowicz, A. G., Roy, L.-P., de Grandpré, I., Grandmont, K., Drukis, S., Colpron, M., and Light, E.: Old Crow landscape hazards: Geoscience mapping for climate change adaptation planning, 2016."
"Site 12 BH b","ODS",-139.846,67.574,"Old Crow, YT","YU_2016","Benkert, B., Kennedy, K., Fortier, D., Lewkowicz, A. G., Roy, L.-P., de Grandpré, I., Grandmont, K., Drukis, S., Colpron, M., and Light, E.: Old Crow landscape hazards: Geoscience mapping for climate change adaptation planning, 2016."
"Site 17 BH","ODS",-139.829,67.593,"Old Crow, YT","YU_2016","Benkert, B., Kennedy, K., Fortier, D., Lewkowicz, A. G., Roy, L.-P., de Grandpré, I., Grandmont, K., Drukis, S., Colpron, M., and Light, E.: Old Crow landscape hazards: Geoscience mapping for climate change adaptation planning, 2016."
