"USCS_symbol_rep_or_calc","test_id","prim_source","test_name","sample_name","borehole","top","bottom","grain_size_curve","mass_fraction_of_gravel_in_soil","mass_fraction_of_sand_in_soil","mass_fraction_of_silt_in_soil","mass_fraction_of_clay_in_soil","mass_fraction_of_fines_in_soil","loss_on_ignition","LL","PL","IP","D10","D50","D60","USCS_symbol_rpt","soil_description","ground_ice_description","soil_group","USCS_symbol_calc","class","sample_mass_init","mass_of_dry_sample","gravimetric_wc_init","gravimetric_wc_fin","sample_volume_init","solid_grain_density_rep","solid_grain_density_rpt_or_asm","initial_degree_of_saturation_rep","frozen_void_ratio_rep","sample_height_ave_or_typ","sample_diameter_ave_or_typ","frozen_bulk_density_rep","frozen_dry_density_calc","final_bulk_density_rep","reported_test_result_type","sigma_v_1","sigma_v_2","sigma_v_3","sigma_v_4","sigma_v_5","sigma_v_6","sigma_v_7","delta_h_1","delta_h_2","delta_h_3","delta_h_4","delta_h_5","delta_h_6","delta_h_7","epsilon_1","epsilon_2","epsilon_3","epsilon_4","epsilon_5","epsilon_6","epsilon_7","e_1","e_2","e_3","e_4","e_5","e_6","e_7","data_quality_flag","note","source_id","data_source","volumetric_wc_calc","frozen_void_ratio_calc","loading_steps_count","sigma_v_min","sigma_v_max","epsilon_1_calc","epsilon_2_calc","epsilon_3_calc","epsilon_4_calc","epsilon_5_calc","epsilon_6_calc","epsilon_7_calc","e_1_calc","e_2_calc","e_3_calc","e_4_calc","e_5_calc","e_6_calc","e_7_calc","phase_change_strain","num_of_swelling_loading_step","swelling_flag","ave_depth","depth_interval_start","depth_interval_end","in_situ_sigma_v","A0","a0","R_sq","Cc","sigma_v_th_init","R_sq_semilog","ice_level","e_th","excess_water_strain","sigma_v_th","soil_compression_strain_at_100_kpa","total_strain_at_100_kpa","epsilon_sigma_v_e_logP_100","epsilon_sigma_v_e_logP_50","epsilon_sigma_v_e_logP_in_situ","group_speer","group_nixon","group_ladanyi","speer_strain","nixon_strain","ladanyi_strain","group_luscher","input_limits","slope_1","intercept_1","slope_2","intercept_2","luscher_strain","slope_1_luscher","slope_2_luscher","intercept_1_luscher","intercept_2_luscher","group_nelson","FDD_min","FDD_max","a1","a2","a3","a4","a5","a6","gs","FDD","porosity","nelson_strain","group_hanna","hanna_strain","slope_1_hanna","slope_2_hanna","intercept_1_hanna","intercept_2_hanna"
"ML","CEN-085","CEN","GR_2017_F5_401-416","GR_2017_F5_401-416","GR_2017_F5",4.01,4.16,TRUE,5.85,30.71,NA,NA,63.4,NA,"26.247","13.79","12.457",NA,NA,NA,"ML",NA,NA,"Fine-grained","CL",NA,1883.05,1434.73,31.25,NA,1076.23,NA,2.65,NA,NA,146.81,97.85,1749.7,1333.1,NA,"delta_h-sigma_v",25,50,100,NA,NA,NA,NA,31.52,33.43,36.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,"CEN_2020b","Aubé-michaud, S., Chiasson, A., Allard, M., St-amour, A. B., Mathon-Dufour, V., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kangiqsualujjuaq, Québec, 121 pp., 2020.",41.6595238095238,0.987840772703892,3,25,100,21.5,22.8,25,NA,NA,NA,NA,0.56,0.535,0.491,NA,NA,NA,NA,4.1,0,FALSE,4.085,3.17,4.085,15.705569655,20.4,0.0462857142857142,0.998174349612049,-0.114606519273615,0.0253593207165039,0.97534826550123,"Ice-rich",0.723379705213896,9.2,1,11.53,24.83,24.8346906259359,23.0991391434561,20.1996368951424,"YES","YES","YES",16.6485657127531,22.7818199591807,16.4866253932854,"Silt",1353.9,-0.06193,88.15101,0,4.3,4.3,-0.06193,0,88.15101,4.3,"ML Lowland",400,900,398.5,27.7,-8.6,-8457.6,6897.9,-176.4,2650,1333.10476190476,0.496941599281222,2.77353436748447,"Low Plastic Fines",5.74213095238095,0.6111,1.615,-19.8611,-61.538
"SM or SC","CEN-086","CEN","WB_2014_F2_31-45","WB_2014_F2_31-45","WB_2014_F2",0.31,0.45,TRUE,10.89,71.72,NA,NA,17.39,NA,NA,NA,NA,0.05,0.171,0.205,"inconclusive",NA,NA,"Coarse-grained","SM or SC",NA,2011.12,1610,24.91,NA,1047.91,NA,2.65,NA,NA,139.42,98.65,1919.2,1536.4,NA,"delta_h-sigma_v",25,50,100,NA,NA,NA,NA,14.52,16.72,18.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","Higher than 5% fine without LL and PL Data","CEN_2020e","Chiasson, A., Allard, M., St-amour, A. B., Mathon-Dufour, V., Aubé-michaud, S., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kangiqsujuaq, Québec, 109 pp., 2020.",38.2733744295893,0.72473686952897,3,25,100,10.4,12,13.3,NA,NA,NA,NA,0.545,0.518,0.495,NA,NA,NA,NA,3.47,0,FALSE,0.38,0,0.38,7.15439376,9.75,0.0368571428571428,0.938896411645227,-0.0830482023721845,0.883523920577321,0.997871208089409,"Ice-rich",0.660429738077702,0.26,1,9.63,13.36,13.3587644739433,11.9092680062979,7.84339176095002,"NO","NO","YES",7.2357215670872,13.8728865120974,8.06678220690362,"Silty Sand",1672.1,-0.03504,62.69266,0,4.1,4.1,-0.03504,0,62.69266,4.1,"Silty Sand",600,1500,218,-164,2,1893.4,-253.1,31,2700,1536.46625570411,0.420201412941846,4.35363093486176,"Low Plastic Fines",3.52775911392202,0.6111,1.615,-19.8611,-61.538
"SM or SC","CEN-087","CEN","WB_2014_F2_45-60","WB_2014_F2_45-60","WB_2014_F2",0.45,0.6,TRUE,11.78,51.29,NA,NA,36.93,NA,"19.927",NA,NA,0.015,0.114,0.165,"inconclusive",NA,NA,"Coarse-grained","SM or SC",NA,2078.95,1569.41,32.47,NA,1160.02,NA,2.65,NA,NA,146.11,100.73,1792.2,1352.9,NA,"delta_h-sigma_v",25,50,100,NA,NA,NA,NA,42.67,43.99,45.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,"CEN_2020e","Chiasson, A., Allard, M., St-amour, A. B., Mathon-Dufour, V., Aubé-michaud, S., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kangiqsujuaq, Québec, 109 pp., 2020.",43.9289907148788,0.958740653944872,3,25,100,29.2,30.1,30.8,NA,NA,NA,NA,0.387,0.369,0.355,NA,NA,NA,NA,4.04,0,FALSE,0.525,0.38,0.525,2.54931489,28.85,0.0202857142857142,0.932827535159143,-0.0531508495181981,1.31171376033992e-08,0.994818652849741,"Ice-rich",0.460635032369729,21.39,1,5.43,30.86,30.8569344999437,30.0400831231279,26.532730297548,"NO","NO","YES",14.2054094053594,20.4407523904981,14.2812259721649,"Silty Sand",1672.1,-0.03504,62.69266,0,4.1,4.1,-0.03504,0,62.69266,4.1,"Silty Sand",600,1500,218,-164,2,1893.4,-253.1,31,2700,1352.91009285121,0.489467889490109,8.56326808434378,"Low Plastic Fines",9.40732000452932,0.6111,1.615,-19.8611,-61.538
"SM or SC","CEN-088","CEN","WB_2014_F2_67-82","WB_2014_F2_67-82","WB_2014_F2",0.67,0.82,FALSE,8.86,73.43,NA,NA,17.71,NA,"28.882",NA,NA,NA,NA,NA,"inconclusive",NA,NA,"Coarse-grained","SM or SC",NA,1940.92,1475.87,31.51,NA,1086.24,NA,2.65,NA,NA,137.67,100.09,1786.8,1358.7,NA,"delta_h-sigma_v",25,50,100,NA,NA,NA,NA,27.86,30.35,33.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Contraditciton between data from Annex B and C; Annex C is used","CEN_2020e","Chiasson, A., Allard, M., St-amour, A. B., Mathon-Dufour, V., Aubé-michaud, S., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kangiqsujuaq, Québec, 109 pp., 2020.",42.8120051707094,0.950422543093799,3,25,100,20.2,22,24.1,NA,NA,NA,NA,0.556,0.521,0.48,NA,NA,NA,NA,4.03,0,FALSE,0.745,0.525,0.745,3.85627176,19.15,0.0505714285714286,0.978908886389201,-0.12623326760572,0.0799792566937426,0.997926744989634,"Ice-rich",0.733466535211441,7.1,1,12.94,24.07,24.0677357199324,22.1194399450218,14.9172734115943,"NO","NO","YES",14.5126015915249,20.7338175442013,14.5576121926578,"Silty Sand",1672.1,-0.03504,62.69266,0,4.1,4.1,-0.03504,0,62.69266,4.1,"Silty Sand",600,1500,218,-164,2,1893.4,-253.1,31,2700,1358.67994829291,0.487290585549847,8.3108086481832,"Low Plastic Fines",7.60338835069577,0.6111,1.615,-19.8611,-61.538
"SM or SC","CEN-089","CEN","WB_2014_F2_90-103","WB_2014_F2_90-103","WB_2014_F2",0.9,1.03,TRUE,3.92,74.84,NA,NA,21.25,NA,"25.378",NA,NA,0.04,0.151,0.18,"inconclusive",NA,NA,"Coarse-grained","SM or SC",NA,1993.49,1509.34,32.08,NA,1116.78,NA,2.65,NA,NA,137.73,100.88,1785,1351.5,NA,"delta_h-sigma_v",25,50,100,NA,NA,NA,NA,41.5,43.4,45.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Variations in reported water content across different sections of the report.","CEN_2020e","Chiasson, A., Allard, M., St-amour, A. B., Mathon-Dufour, V., Aubé-michaud, S., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kangiqsujuaq, Québec, 109 pp., 2020.",43.354633555421,0.960851540616246,3,25,100,30.1,31.5,33.3,NA,NA,NA,NA,0.371,0.343,0.308,NA,NA,NA,NA,4.05,0,FALSE,0.965,0.745,0.965,3.852387,29.2,0.0417142857142856,0.986121391561806,-0.104640734988952,0.000339115013559316,0.995901639344262,"Ice-rich",0.518448136644571,18.51,1,10.67,33.23,33.2347890929454,31.628344171057,25.6875445021994,"NO","NO","YES",14.6152053294229,20.8317818647899,14.6499822317009,"Silty Sand",1672.1,-0.03504,62.69266,0,4.1,4.1,-0.03504,0,62.69266,4.1,"Silty Sand",600,1500,218,-164,2,1893.4,-253.1,31,2700,1351.45366444579,0.490017485114796,8.5486513660558,"Low Plastic Fines",8.47973319200484,0.6111,1.615,-19.8611,-61.538
"SM or SC","CEN-090","CEN","WB_2014_F2_103-115","WB_2014_F2_103-115","WB_2014_F2",1.03,1.15,TRUE,3.25,65.06,NA,NA,31.69,NA,"26.939",NA,NA,0.025,0.114,0.138,"inconclusive",NA,NA,"Coarse-grained","SM or SC",NA,1457,937.41,55.43,NA,964.8,NA,2.65,NA,NA,118.26,100.75,1510.2,971.6,NA,"delta_h-sigma_v",25,50,100,NA,NA,NA,NA,44.28,45.75,46.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,"CEN_2020e","Chiasson, A., Allard, M., St-amour, A. B., Mathon-Dufour, V., Aubé-michaud, S., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kangiqsujuaq, Québec, 109 pp., 2020.",53.8572900984366,1.72738379022646,3,25,100,37.4,38.7,39.2,NA,NA,NA,NA,0.707,0.672,0.658,NA,NA,NA,NA,5.23,0,FALSE,1.09,0.965,1.09,1.85188275,37.15,0.0219999999999998,0.817567567567574,-0.0813872383247407,3.71539046866e-10,0.942307692307691,"Ice-rich",0.817274476649481,28.14,1,5.97,39.34,39.3374703652315,38.4391736133113,34.1678952374225,"NO","NO","YES",31.6337549949842,37.9055353420347,30.5601708305399,"Silty Sand",1672.1,-0.03504,62.69266,0,4.1,9.77525199999999,-0.03504,0,62.69266,4.1,"Silty Sand",600,1500,218,-164,2,1893.4,-253.1,31,2700,971.627099015634,0.633348264522402,24.1217948568869,"Low Plastic Fines",25.4415235089751,0.6111,1.615,-19.8611,-61.538
"SM or SC","CEN-091","CEN","WB_2014_F2_120-134","WB_2014_F2_120-134","WB_2014_F2",1.2,1.34,TRUE,24.08,45.37,NA,NA,30.56,NA,NA,NA,NA,0.018,0.141,0.23,"inconclusive",NA,NA,"Coarse-grained","SM or SC",NA,1419.82,727.78,95.09,NA,1083.99,NA,2.65,NA,NA,138.43,99.02,1309.8,671.4,NA,"delta_h-sigma_v",25,50,100,NA,NA,NA,NA,81.96,84.16,85.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","Higher than 5% fine without LL and PL Data","CEN_2020e","Chiasson, A., Allard, M., St-amour, A. B., Mathon-Dufour, V., Aubé-michaud, S., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kangiqsujuaq, Québec, 109 pp., 2020.",63.8417561125634,2.94707970682547,3,25,100,59.2,60.8,61.7,NA,NA,NA,NA,0.61,0.547,0.512,NA,NA,NA,NA,6.17,0,FALSE,1.27,1.09,1.27,2.31284484,58.75,0.0311428571428571,0.882165132165135,-0.162774476649481,3.20941267840232e-12,0.973509933774834,"Ice-rich",0.832882286632296,47.4,1,8.25,61.82,61.8114290743411,60.5700049420829,55.0652973175121,"NO","NO","YES",46.1267806029751,55.3017067854916,46.0666595319641,"Silty Sand",1672.1,-0.03504,62.69266,0,4.1,16.797268,-0.03504,0,62.69266,4.1,"Silty Sand",600,1500,218,-164,2,1893.4,-253.1,31,2700,671.382438874366,0.746648136273824,43.2910081816629,"Low Plastic Fines",41.5664361217899,0.6111,1.615,-19.8611,-61.538
"SM or SC","CEN-092","CEN","WB_2014_F2_134-147","WB_2014_F2_134-147","WB_2014_F2",1.34,1.47,TRUE,26.26,38.41,NA,NA,35.33,NA,"19.421","15.02","4.401",0.012,0.17,0.296,"inconclusive",NA,NA,"Coarse-grained","SM or SC",NA,1407.44,753.4,86.81,NA,1084.82,NA,2.65,NA,NA,130.94,100.06,1297.4,694.5,NA,"delta_h-sigma_v",25,50,100,NA,NA,NA,NA,77.71,80.35,81.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,"CEN_2020e","Chiasson, A., Allard, M., St-amour, A. B., Mathon-Dufour, V., Aubé-michaud, S., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kangiqsujuaq, Québec, 109 pp., 2020.",60.2897564370216,2.81568136272545,3,25,100,59.3,61.4,62.4,NA,NA,NA,NA,0.553,0.473,0.435,NA,NA,NA,NA,6.1,0,FALSE,1.405,1.27,1.405,1.71821169,58.8,0.0382857142857139,0.853909073616136,-0.195993757598355,1.00870106922462e-09,0.959481808158764,"Ice-rich",0.81998751519671,46.21,1,10.27,62.58,62.5754913932328,61.029240687491,53.5099032966244,"NO","NO","YES",47.0951217490839,56.6751297676945,47.2347381844108,"Silty Sand",1672.1,-0.03504,62.69266,0,4.1,17.231764,-0.03504,0,62.69266,4.1,"Silty Sand",600,1500,218,-164,2,1893.4,-253.1,31,2700,694.502435629784,0.737923609196308,41.4541394582982,"Low Plastic Fines",35.8299566457899,0.6111,1.615,-19.8611,-61.538
"ML or CL","CEN-093","CEN","WB_2014_F2_152-166","WB_2014_F2_152-166","WB_2014_F2",1.52,1.66,TRUE,2.15,47.82,NA,NA,50.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fine-grained","CH/CL/MH/ML",NA,1788.21,1201.5,48.83,NA,1128.95,NA,2.65,NA,NA,141.21,100.66,1584,1064.3,NA,"delta_h-sigma_v",25,50,100,NA,NA,NA,NA,41.21,45.46,49.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","Higher than 50% fine without LL and PL Data","CEN_2020e","Chiasson, A., Allard, M., St-amour, A. B., Mathon-Dufour, V., Aubé-michaud, S., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kangiqsujuaq, Québec, 109 pp., 2020.",51.969844789357,1.48989583333333,3,25,100,29.2,32.2,34.8,NA,NA,NA,NA,0.763,0.688,0.623,NA,NA,NA,NA,4.94,0,FALSE,1.59,1.405,1.59,2.8747224,27.9,0.0714285714285714,0.947429056512248,-0.232534966642116,0.0622075564289513,0.99830220713073,"Ice-rich",1.08640326661756,11.26,1,18.68,34.88,34.8834874283563,32.0721248378864,20.4880921212262,"YES","YES","YES",26.7767547326706,32.8173089125739,25.8654077548513,"Silt",1353.9,-0.06193,88.15101,0,4.3,4.3,-0.06193,0,88.15101,4.3,"ML Lowland",400,900,398.5,27.7,-8.6,-8457.6,6897.9,-176.4,2650,1064.30155210643,0.598376772790026,15.2767750268619,"Low Plastic Fines",22.3932993348115,0.6111,1.615,-19.8611,-61.538
"SM or SC","CEN-094","CEN","WB_2014_F2_166-180","WB_2014_F2_166-180","WB_2014_F2",1.66,1.8,TRUE,3.26,52.96,NA,NA,43.77,NA,"21.027","16.043","4.984",0.015,0.096,0.151,"inconclusive",NA,NA,"Coarse-grained","SM or SC",NA,2020,1470.41,37.38,NA,1191.78,NA,2.65,NA,NA,146.44,100.85,1694.9,1233.8,NA,"delta_h-sigma_v",25,50,100,NA,NA,NA,NA,31.23,34.31,37.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,"CEN_2020e","Chiasson, A., Allard, M., St-amour, A. B., Mathon-Dufour, V., Aubé-michaud, S., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kangiqsujuaq, Québec, 109 pp., 2020.",46.1168743630805,1.14795563160068,3,25,100,21.3,23.4,25.5,NA,NA,NA,NA,0.69,0.645,0.6,NA,NA,NA,NA,4.41,0,FALSE,1.73,1.59,1.73,2.32777566,20.25,0.0539999999999999,0.964285714285715,-0.149486764269932,0.0930019634524675,1,"Ice-rich",0.898973528539863,7.18,1,13.92,25.51,25.5105656531807,23.4155503121764,14.145308204136,"NO","NO","YES",19.8879030601375,25.9265470260889,19.4397033258695,"Silty Sand",1672.1,-0.03504,62.69266,0,4.1,4.1,-0.03504,0,62.69266,4.1,"Silty Sand",600,1500,218,-164,2,1893.4,-253.1,31,2700,1233.73125636919,0.534441035332379,12.3323451560217,"Low Plastic Fines",12.940752096375,0.6111,1.615,-19.8611,-61.538
"ML or CL","CEN-095","CEN","WB_2014_F2_186-200","WB_2014_F2_186-200","WB_2014_F2",1.86,2,TRUE,5.32,41.96,NA,NA,52.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fine-grained","CH/CL/MH/ML",NA,1940.92,1475.87,31.51,NA,1086.24,NA,2.65,NA,NA,137.67,100.09,1786.8,1358.7,NA,"delta_h-sigma_v",25,50,100,NA,NA,NA,NA,27.86,30.35,33.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","Higher than 50% fine without LL and PL Data","CEN_2020e","Chiasson, A., Allard, M., St-amour, A. B., Mathon-Dufour, V., Aubé-michaud, S., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kangiqsujuaq, Québec, 109 pp., 2020.",42.8120051707094,0.950422543093799,3,25,100,20.2,22,24.1,NA,NA,NA,NA,0.556,0.521,0.48,NA,NA,NA,NA,4.03,0,FALSE,1.93,1.73,1.93,3.5057016,19.15,0.0505714285714286,0.978908886389201,-0.12623326760572,0.0799792566937426,0.997926744989634,"Ice-rich",0.733466535211441,7.1,1,12.94,24.07,24.0677357199324,22.1194399450218,14.649375877237,"YES","YES","YES",14.5126015915249,20.7338175442013,14.5576121926578,"Silt",1353.9,-0.06193,88.15101,0,4.3,4.3,-0.06193,0,88.15101,4.3,"ML Lowland",400,900,398.5,27.7,-8.6,-8457.6,6897.9,-176.4,2650,1358.67994829291,0.487290585549847,-3.46044168802342,"Low Plastic Fines",7.60338835069577,0.6111,1.615,-19.8611,-61.538
"SM or SC","CEN-096","CEN","WB_2014_F2_200-214","WB_2014_F2_200-214","WB_2014_F2",2,2.14,TRUE,7.46,48.1,NA,NA,44.46,NA,"23.464","15.01","8.454",0.013,0.099,0.168,"inconclusive",NA,NA,"Coarse-grained","SM or SC",NA,1993.49,1509.34,32.08,NA,1116.78,NA,2.65,NA,NA,137.73,100.88,1785,1351.5,NA,"delta_h-sigma_v",25,50,100,NA,NA,NA,NA,41.5,43.4,45.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,"CEN_2020e","Chiasson, A., Allard, M., St-amour, A. B., Mathon-Dufour, V., Aubé-michaud, S., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kangiqsujuaq, Québec, 109 pp., 2020.",43.354633555421,0.960851540616246,3,25,100,30.1,31.5,33.3,NA,NA,NA,NA,0.371,0.343,0.308,NA,NA,NA,NA,4.05,0,FALSE,2.07,1.93,2.07,2.451519,29.2,0.0417142857142856,0.986121391561806,-0.104640734988952,0.000339115013559316,0.995901639344262,"Ice-rich",0.518448136644571,18.51,1,10.67,33.23,33.2347890929454,31.628344171057,24.6400192042972,"NO","NO","YES",14.6152053294229,20.8317818647899,14.6499822317009,"Silty Sand",1672.1,-0.03504,62.69266,0,4.1,4.1,-0.03504,0,62.69266,4.1,"Silty Sand",600,1500,218,-164,2,1893.4,-253.1,31,2700,1351.45366444579,0.490017485114796,8.5486513660558,"Low Plastic Fines",8.47973319200484,0.6111,1.615,-19.8611,-61.538
"SM or SC","CEN-097","CEN","WB_2014_F2_220-228","WB_2014_F2_220-228","WB_2014_F2",2.2,2.28,TRUE,8.28,47.65,NA,NA,44.08,NA,"20.622","13.903","6.719",0.012,0.109,0.187,"inconclusive",NA,NA,"Coarse-grained","SM or SC",NA,1239,1022.69,21.15,NA,632.548,NA,2.65,NA,NA,84.2,98.53,1958.7,1616.8,NA,"delta_h-sigma_v",25,50,100,NA,NA,NA,NA,12.61,14.07,16.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,"CEN_2020e","Chiasson, A., Allard, M., St-amour, A. B., Mathon-Dufour, V., Aubé-michaud, S., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kangiqsujuaq, Québec, 109 pp., 2020.",34.1943912505159,0.639084596926533,3,25,100,15,16.7,19.3,NA,NA,NA,NA,0.393,0.365,0.323,NA,NA,NA,NA,3.22,0,FALSE,2.24,2.07,2.24,3.26652399,13.7,0.0565714285714286,0.995126408772464,-0.116267483321058,0.569277686293322,0.986842105263158,"Ice-rich",0.557868299975449,1.73,1,14.19,19.14,19.1418590706983,17.0065208419315,8.60161613671605,"NO","NO","YES",5.16179543396254,11.9427140620429,6.23384292730792,"Silty Sand",1672.1,-0.03504,62.69266,0,4.1,4.1,-0.03504,0,62.69266,4.1,"Silty Sand",600,1500,218,-164,2,1893.4,-253.1,31,2700,1616.75608749484,0.389903363209494,2.97801929275514,"Low Plastic Fines",1.03509249319026,0.6111,1.615,-19.8611,-61.538
"SM or SC","CEN-098","CEN","WB_2014_F2_228-242","WB_2014_F2_228-242","WB_2014_F2",2.28,2.42,TRUE,9.04,46.57,NA,NA,44.39,NA,NA,NA,NA,0.01,0.109,0.211,"inconclusive",NA,NA,"Coarse-grained","SM or SC",NA,2141.4,1787.52,19.8,NA,1091.51,NA,2.65,NA,NA,145.6,97.24,1961.9,1637.7,NA,"delta_h-sigma_v",25,50,100,NA,NA,NA,NA,23.9,26.69,29.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","Higher than 5% fine without LL and PL Data","CEN_2020e","Chiasson, A., Allard, M., St-amour, A. B., Mathon-Dufour, V., Aubé-michaud, S., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kangiqsujuaq, Québec, 109 pp., 2020.",32.4253923205342,0.618176257709363,3,25,100,16.4,18.3,20.2,NA,NA,NA,NA,0.353,0.322,0.291,NA,NA,NA,NA,3.16,0,FALSE,2.35,2.24,2.35,2.11708628999999,15.45,0.0488571428571428,0.964285714285714,-0.102979770941509,0.208237521621153,1,"Ice-rich",0.496959541883017,4.34,1,12.73,20.23,20.2188269757772,18.3030900557533,9.56392712821914,"NO","NO","YES",4.99561675093501,11.7884314439353,6.0872158646015,"Silty Sand",1672.1,-0.03504,62.69266,0,4.1,4.1,-0.03504,0,62.69266,4.1,"Silty Sand",600,1500,218,-164,2,1893.4,-253.1,31,2700,1637.64607679466,0.382020348379374,2.57114884210783,"Low Plastic Fines",-0.0459427529215333,0.6111,1.615,-19.8611,-61.538
"SM or SC","CEN-099","CEN","WB_2014_F2_253-267","WB_2014_F2_253-267","WB_2014_F2",2.53,2.67,TRUE,8.45,43.41,NA,NA,48.15,NA,"22.15","12.4","9.75",0.009,0.086,0.151,"inconclusive",NA,NA,"Coarse-grained","SM or SC",NA,2179.54,1840.83,18.4,NA,1086.59,NA,2.65,NA,NA,143.44,99.74,2005.9,1694.1,NA,"delta_h-sigma_v",25,50,100,NA,NA,NA,NA,20.97,23.02,26.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,"CEN_2020e","Chiasson, A., Allard, M., St-amour, A. B., Mathon-Dufour, V., Aubé-michaud, S., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kangiqsujuaq, Québec, 109 pp., 2020.",31.1727702702703,0.564185652325639,3,25,100,14.6,16,18.3,NA,NA,NA,NA,0.336,0.314,0.278,NA,NA,NA,NA,2.98,0,FALSE,2.6,2.35,2.6,4.91946975,13.45,0.0488571428571429,0.997441670077773,-0.0963359147517336,0.344408993717569,0.98094867807154,"Ice-rich",0.473005162836801,2.85,1,12.32,18.15,18.146971145674,16.2929712731599,10.0906865550624,"NO","NO","YES",2.73774910702119,9.6970983338709,4.09803772466331,"Silty Sand",1672.1,-0.03504,62.69266,0,4.1,4.1,-0.03504,0,62.69266,4.1,"Silty Sand",600,1500,218,-164,2,1893.4,-253.1,31,2700,1694.1722972973,0.360689699133095,2.12377906534627,"Low Plastic Fines",-0.811420087837838,0.6111,1.615,-19.8611,-61.538
