test_id,prim_source,test_name,sample_name,borehole,top,bottom,grain_size_curve,mass_fraction_of_gravel_in_soil,mass_fraction_of_sand_in_soil,mass_fraction_of_silt_in_soil,mass_fraction_of_clay_in_soil,mass_fraction_of_fines_in_soil,loss_on_ignition,LL,PL,IP,D10,D50,D60,USCS_symbol_rpt,soil_description,ground_ice_description,soil_group,USCS_symbol_calc,USCS_symbol_rep_or_calc,class,sample_mass_init,mass_of_dry_sample,gravimetric_wc_init,gravimetric_wc_fin,sample_volume_init,solid_grain_density_rep,solid_grain_density_rpt_or_asm,initial_degree_of_saturation_rep,frozen_void_ratio_rep,sample_height_ave_or_typ,sample_diameter_ave_or_typ,frozen_bulk_density_rep,frozen_dry_density_calc,final_bulk_density_rep,reported_test_result_type,sigma_v_1,sigma_v_2,sigma_v_3,sigma_v_4,sigma_v_5,sigma_v_6,sigma_v_7,delta_h_1,delta_h_2,delta_h_3,delta_h_4,delta_h_5,delta_h_6,delta_h_7,epsilon_1,epsilon_2,epsilon_3,epsilon_4,epsilon_5,epsilon_6,epsilon_7,e_1,e_2,e_3,e_4,e_5,e_6,e_7,data_quality_flag,note,source_id,data_source
CEN-070,CEN,GR_2017_F1_266-280,GR_2017_F1_266-280,GR_2017_F1,2.66,2.8,TRUE,0.84,41.68,NA,NA,57.48,NA,21.095,NA,NA,NA,NA,NA,ML,NA,NA,Fine-grained,ML or CL,ML,,1900.26,1468.44,29.41,NA,1057.72,NA,2.65,NA,NA,143.46,97.21,1796.6,1388.3,NA,delta_h-sigma_v,25,50,100,NA,NA,NA,NA,28.3,30.35,32.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,CEN_2020b,"Aubé-michaud, S., Chiasson, A., Allard, M., St-amour, A. B., Mathon-Dufour, V., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kangiqsualujjuaq, Québec, 121 pp., 2020."
CEN-071,CEN,GR_2017_F1_285-298,GR_2017_F1_285-298,GR_2017_F1,2.85,2.98,TRUE,0.04,51.07,NA,NA,48.88,NA,20.593,15.2,5.393,0.012,0.077,0.095,SM,NA,NA,Coarse-grained,SM or SC,SM,,1604.27,1248.96,28.45,NA,898.687,NA,2.65,NA,NA,131.93,93.67,1785.1,1389.8,NA,delta_h-sigma_v,25,50,100,NA,NA,NA,NA,30.5,33.29,35.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,CEN_2020b,"Aubé-michaud, S., Chiasson, A., Allard, M., St-amour, A. B., Mathon-Dufour, V., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kangiqsualujjuaq, Québec, 121 pp., 2020."
CEN-072,CEN,GR_2017_F1_312-327,GR_2017_F1_312-327,GR_2017_F1,3.12,3.27,TRUE,0.01,45.9,NA,NA,54.1,NA,19.687,NA,NA,NA,NA,NA,ML,NA,NA,Fine-grained,ML or CL,ML,,1866.29,1486.88,25.52,NA,1007.31,NA,2.65,NA,NA,143.6,95.4,1852.7,1476.1,NA,delta_h-sigma_v,25,50,100,NA,NA,NA,NA,23.46,26.69,29.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,CEN_2020b,"Aubé-michaud, S., Chiasson, A., Allard, M., St-amour, A. B., Mathon-Dufour, V., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kangiqsualujjuaq, Québec, 121 pp., 2020."
CEN-073,CEN,GR_2017_F1_350-364,GR_2017_F1_350-364,GR_2017_F1,3.5,3.64,TRUE,0.22,35.82,NA,NA,64,NA,19.554,NA,NA,NA,NA,NA,ML,NA,NA,Fine-grained,ML or CL,ML,,1929.81,1514.84,27.39,NA,1061.14,NA,2.65,NA,NA,139.95,98.74,1818.6,1427.6,NA,delta_h-sigma_v,25,50,100,NA,NA,NA,NA,20.82,23.61,26.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,CEN_2020b,"Aubé-michaud, S., Chiasson, A., Allard, M., St-amour, A. B., Mathon-Dufour, V., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kangiqsualujjuaq, Québec, 121 pp., 2020."
CEN-074,CEN,GR_2017_F1_375-389,GR_2017_F1_375-389,GR_2017_F1,3.75,3.89,TRUE,0,14.83,NA,NA,85.17,NA,28.051,16.103,11.947,NA,NA,NA,ML,NA,NA,Fine-grained,CL,ML,,1749.81,1152.21,51.87,NA,1097.6,NA,2.65,NA,NA,138.5,100.66,1594.2,1049.8,NA,delta_h-sigma_v,25,50,100,NA,NA,NA,NA,25.52,30.5,33.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,CEN_2020b,"Aubé-michaud, S., Chiasson, A., Allard, M., St-amour, A. B., Mathon-Dufour, V., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kangiqsualujjuaq, Québec, 121 pp., 2020."
CEN-075,CEN,GR_2017_F1_407-423,GR_2017_F1_407-423,GR_2017_F1,4.07,4.23,TRUE,0,15.06,NA,NA,84.94,NA,23.826,16.103,7.722,NA,NA,NA,ML,NA,NA,Fine-grained,CL,ML,,1656.84,1321.44,25.38,NA,914.028,NA,2.65,NA,NA,149.78,88.99,1812.7,1445.7,NA,delta_h-sigma_v,25,50,100,NA,NA,NA,NA,29.91,36.95,40.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,CEN_2020b,"Aubé-michaud, S., Chiasson, A., Allard, M., St-amour, A. B., Mathon-Dufour, V., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kangiqsualujjuaq, Québec, 121 pp., 2020."
CEN-076,CEN,GR_2017_F1_433-447,GR_2017_F1_433-447,GR_2017_F1,4.33,4.47,TRUE,0,76.38,NA,NA,23.69,NA,21.663,NA,NA,0.023,0.147,0.165,SM,NA,NA,Coarse-grained,SM or SC,SM,,1801.73,1421.76,26.73,NA,990.36,NA,2.65,NA,NA,140.9,95.34,1819.3,1435.6,NA,delta_h-sigma_v,25,50,100,NA,NA,NA,NA,23.17,25.52,27.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,CEN_2020b,"Aubé-michaud, S., Chiasson, A., Allard, M., St-amour, A. B., Mathon-Dufour, V., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kangiqsualujjuaq, Québec, 121 pp., 2020."
CEN-077,CEN,GR_2017_F1_471-485,GR_2017_F1_471-485,GR_2017_F1,4.71,4.85,TRUE,0,13.31,NA,NA,86.69,NA,23.478,NA,NA,NA,NA,NA,ML,NA,NA,Fine-grained,ML or CL,ML,,1632.87,1171.55,39.38,NA,983.639,NA,2.65,NA,NA,131.81,97.84,1660,1191,NA,delta_h-sigma_v,25,50,100,NA,NA,NA,NA,32.99,35.34,37.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,CEN_2020b,"Aubé-michaud, S., Chiasson, A., Allard, M., St-amour, A. B., Mathon-Dufour, V., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kangiqsualujjuaq, Québec, 121 pp., 2020."
CEN-078,CEN,GR_2017_F2_91-105,GR_2017_F2_91-105,GR_2017_F2,0.91,1.05,TRUE,0.52,77.9,NA,NA,21.58,NA,25.512,NA,NA,0.038,0.175,0.224,inconclusive,NA,NA,Coarse-grained,SM or SC,SM or SC,,1812.07,1524.64,18.85,NA,950.925,NA,2.65,NA,NA,133.88,96.04,1905.6,1603.3,NA,delta_h-sigma_v,25,50,100,NA,NA,NA,NA,9.97,12.75,15.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,CEN_2020b,"Aubé-michaud, S., Chiasson, A., Allard, M., St-amour, A. B., Mathon-Dufour, V., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kangiqsualujjuaq, Québec, 121 pp., 2020."
CEN-079,CEN,GR_2017_F2_107-122,GR_2017_F2_107-122,GR_2017_F2,1.07,1.22,TRUE,0.74,61.93,NA,NA,37.33,NA,NA,NA,NA,0.015,0.096,0.113,inconclusive,NA,NA,Coarse-grained,SM or SC,SM or SC,,1922.58,1565.1,22.84,NA,1020.21,NA,2.65,NA,NA,147.72,94.42,1884.5,1534.1,NA,delta_h-sigma_v,25,50,100,NA,NA,NA,NA,4.25,13.64,16.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Higher than 5% fine without LL and PL Data,CEN_2020b,"Aubé-michaud, S., Chiasson, A., Allard, M., St-amour, A. B., Mathon-Dufour, V., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kangiqsualujjuaq, Québec, 121 pp., 2020."
CEN-080,CEN,GR_2017_F5_103-115,GR_2017_F5_103-115,GR_2017_F5,1.03,1.15,FALSE,2.46,46.68,NA,NA,50.9,NA,21.392,NA,NA,NA,NA,NA,inconclusive,NA,NA,Fine-grained,ML or CL,ML or CL,,1328.37,791.31,67.87,NA,948.888,NA,2.65,NA,NA,119.98,98.35,1399.9,833.9,NA,delta_h-sigma_v,25,50,100,NA,NA,NA,NA,53.08,54.4,55.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,CEN_2020b,"Aubé-michaud, S., Chiasson, A., Allard, M., St-amour, A. B., Mathon-Dufour, V., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kangiqsualujjuaq, Québec, 121 pp., 2020."
CEN-081,CEN,GR_2017_F5_122-137,GR_2017_F5_122-137,GR_2017_F5,1.22,1.37,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1741.33,1112.61,56.51,NA,1164.97,NA,2.65,NA,NA,146.91,99.74,1494.7,955.1,NA,delta_h-sigma_v,25,50,100,NA,NA,NA,NA,62.61,63.83,64.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Soil type unclear,CEN_2020b,"Aubé-michaud, S., Chiasson, A., Allard, M., St-amour, A. B., Mathon-Dufour, V., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kangiqsualujjuaq, Québec, 121 pp., 2020."
CEN-082,CEN,GR_2017_F5_154-168,GR_2017_F5_154-168,GR_2017_F5,1.54,1.68,TRUE,0.52,33.8,NA,NA,65.7,NA,18.755,NA,NA,NA,NA,NA,ML,NA,NA,Fine-grained,ML or CL,ML,,1658.56,1241.33,33.61,NA,996.131,NA,2.65,NA,NA,135.95,95.72,1665,1246.2,NA,delta_h-sigma_v,25,50,100,NA,NA,NA,NA,38.42,41.64,44.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,CEN_2020b,"Aubé-michaud, S., Chiasson, A., Allard, M., St-amour, A. B., Mathon-Dufour, V., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kangiqsualujjuaq, Québec, 121 pp., 2020."
CEN-083,CEN,GR_2017_F5_240-254,GR_2017_F5_240-254,GR_2017_F5,2.4,2.54,TRUE,2.15,24.3,NA,NA,73.55,NA,22.858,17.293,5.564,NA,NA,NA,ML,NA,NA,Fine-grained,CL+ML,ML,,1783.65,1305.24,36.65,NA,1095.01,NA,2.65,NA,NA,143.73,96.61,1628.9,1192,NA,delta_h-sigma_v,25,50,100,NA,NA,NA,NA,32.7,38.27,42.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,CEN_2020b,"Aubé-michaud, S., Chiasson, A., Allard, M., St-amour, A. B., Mathon-Dufour, V., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kangiqsualujjuaq, Québec, 121 pp., 2020."
CEN-084,CEN,GR_2017_F5_310-324,GR_2017_F5_310-324,GR_2017_F5,3.1,3.24,TRUE,0.01,26.93,NA,NA,73.1,NA,24.828,14.37,10.458,NA,NA,NA,ML,NA,NA,Fine-grained,CL,ML,,1819.93,1285.5,41.57,NA,1107.95,NA,2.65,NA,NA,136.01,100.93,1642.6,1160.3,NA,delta_h-sigma_v,25,50,100,NA,NA,NA,NA,29.76,33.13,35.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,CEN_2020b,"Aubé-michaud, S., Chiasson, A., Allard, M., St-amour, A. B., Mathon-Dufour, V., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kangiqsualujjuaq, Québec, 121 pp., 2020."
CEN-085,CEN,GR_2017_F5_401-416,GR_2017_F5_401-416,GR_2017_F5,4.01,4.16,TRUE,5.85,30.71,NA,NA,63.4,NA,26.247,13.79,12.457,NA,NA,NA,ML,NA,NA,Fine-grained,CL,ML,,1883.05,1434.73,31.25,NA,1076.23,NA,2.65,NA,NA,146.81,97.85,1749.7,1333.1,NA,delta_h-sigma_v,25,50,100,NA,NA,NA,NA,31.52,33.43,36.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,CEN_2020b,"Aubé-michaud, S., Chiasson, A., Allard, M., St-amour, A. B., Mathon-Dufour, V., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kangiqsualujjuaq, Québec, 121 pp., 2020."
CEN-086,CEN,WB_2014_F2_31-45,WB_2014_F2_31-45,WB_2014_F2,0.31,0.45,TRUE,10.89,71.72,NA,NA,17.39,NA,NA,NA,NA,0.05,0.171,0.205,inconclusive,NA,NA,Coarse-grained,SM or SC,SM or SC,,2011.12,1610,24.91,NA,1047.91,NA,2.65,NA,NA,139.42,98.65,1919.2,1536.4,NA,delta_h-sigma_v,25,50,100,NA,NA,NA,NA,14.52,16.72,18.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Higher than 5% fine without LL and PL Data,CEN_2020e,"Chiasson, A., Allard, M., St-amour, A. B., Mathon-Dufour, V., Aubé-michaud, S., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kangiqsujuaq, Québec, 109 pp., 2020."
CEN-087,CEN,WB_2014_F2_45-60,WB_2014_F2_45-60,WB_2014_F2,0.45,0.6,TRUE,11.78,51.29,NA,NA,36.93,NA,19.927,NA,NA,0.015,0.114,0.165,inconclusive,NA,NA,Coarse-grained,SM or SC,SM or SC,,2078.95,1569.41,32.47,NA,1160.02,NA,2.65,NA,NA,146.11,100.73,1792.2,1352.9,NA,delta_h-sigma_v,25,50,100,NA,NA,NA,NA,42.67,43.99,45.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,CEN_2020e,"Chiasson, A., Allard, M., St-amour, A. B., Mathon-Dufour, V., Aubé-michaud, S., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kangiqsujuaq, Québec, 109 pp., 2020."
CEN-088,CEN,WB_2014_F2_67-82,WB_2014_F2_67-82,WB_2014_F2,0.67,0.82,FALSE,8.86,73.43,NA,NA,17.71,NA,28.882,NA,NA,NA,NA,NA,inconclusive,NA,NA,Coarse-grained,SM or SC,SM or SC,,1940.92,1475.87,31.51,NA,1086.24,NA,2.65,NA,NA,137.67,100.09,1786.8,1358.7,NA,delta_h-sigma_v,25,50,100,NA,NA,NA,NA,27.86,30.35,33.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Contraditciton between data from Annex B and C; Annex C is used,CEN_2020e,"Chiasson, A., Allard, M., St-amour, A. B., Mathon-Dufour, V., Aubé-michaud, S., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kangiqsujuaq, Québec, 109 pp., 2020."
CEN-089,CEN,WB_2014_F2_90-103,WB_2014_F2_90-103,WB_2014_F2,0.9,1.03,TRUE,3.92,74.84,NA,NA,21.25,NA,25.378,NA,NA,0.04,0.151,0.18,inconclusive,NA,NA,Coarse-grained,SM or SC,SM or SC,,1993.49,1509.34,32.08,NA,1116.78,NA,2.65,NA,NA,137.73,100.88,1785,1351.5,NA,delta_h-sigma_v,25,50,100,NA,NA,NA,NA,41.5,43.4,45.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Variations in reported water content across different sections of the report.,CEN_2020e,"Chiasson, A., Allard, M., St-amour, A. B., Mathon-Dufour, V., Aubé-michaud, S., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kangiqsujuaq, Québec, 109 pp., 2020."
CEN-090,CEN,WB_2014_F2_103-115,WB_2014_F2_103-115,WB_2014_F2,1.03,1.15,TRUE,3.25,65.06,NA,NA,31.69,NA,26.939,NA,NA,0.025,0.114,0.138,inconclusive,NA,NA,Coarse-grained,SM or SC,SM or SC,,1457,937.41,55.43,NA,964.8,NA,2.65,NA,NA,118.26,100.75,1510.2,971.6,NA,delta_h-sigma_v,25,50,100,NA,NA,NA,NA,44.28,45.75,46.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,CEN_2020e,"Chiasson, A., Allard, M., St-amour, A. B., Mathon-Dufour, V., Aubé-michaud, S., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kangiqsujuaq, Québec, 109 pp., 2020."
CEN-091,CEN,WB_2014_F2_120-134,WB_2014_F2_120-134,WB_2014_F2,1.2,1.34,TRUE,24.08,45.37,NA,NA,30.56,NA,NA,NA,NA,0.018,0.141,0.23,inconclusive,NA,NA,Coarse-grained,SM or SC,SM or SC,,1419.82,727.78,95.09,NA,1083.99,NA,2.65,NA,NA,138.43,99.02,1309.8,671.4,NA,delta_h-sigma_v,25,50,100,NA,NA,NA,NA,81.96,84.16,85.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Higher than 5% fine without LL and PL Data,CEN_2020e,"Chiasson, A., Allard, M., St-amour, A. B., Mathon-Dufour, V., Aubé-michaud, S., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kangiqsujuaq, Québec, 109 pp., 2020."
CEN-092,CEN,WB_2014_F2_134-147,WB_2014_F2_134-147,WB_2014_F2,1.34,1.47,TRUE,26.26,38.41,NA,NA,35.33,NA,19.421,15.02,4.401,0.012,0.17,0.296,inconclusive,NA,NA,Coarse-grained,SM or SC,SM or SC,,1407.44,753.4,86.81,NA,1084.82,NA,2.65,NA,NA,130.94,100.06,1297.4,694.5,NA,delta_h-sigma_v,25,50,100,NA,NA,NA,NA,77.71,80.35,81.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,CEN_2020e,"Chiasson, A., Allard, M., St-amour, A. B., Mathon-Dufour, V., Aubé-michaud, S., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kangiqsujuaq, Québec, 109 pp., 2020."
CEN-093,CEN,WB_2014_F2_152-166,WB_2014_F2_152-166,WB_2014_F2,1.52,1.66,TRUE,2.15,47.82,NA,NA,50.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fine-grained,CH/CL/MH/ML,ML or CL,,1788.21,1201.5,48.83,NA,1128.95,NA,2.65,NA,NA,141.21,100.66,1584,1064.3,NA,delta_h-sigma_v,25,50,100,NA,NA,NA,NA,41.21,45.46,49.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Higher than 50% fine without LL and PL Data,CEN_2020e,"Chiasson, A., Allard, M., St-amour, A. B., Mathon-Dufour, V., Aubé-michaud, S., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kangiqsujuaq, Québec, 109 pp., 2020."
CEN-094,CEN,WB_2014_F2_166-180,WB_2014_F2_166-180,WB_2014_F2,1.66,1.8,TRUE,3.26,52.96,NA,NA,43.77,NA,21.027,16.043,4.984,0.015,0.096,0.151,inconclusive,NA,NA,Coarse-grained,SM or SC,SM or SC,,2020,1470.41,37.38,NA,1191.78,NA,2.65,NA,NA,146.44,100.85,1694.9,1233.8,NA,delta_h-sigma_v,25,50,100,NA,NA,NA,NA,31.23,34.31,37.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,CEN_2020e,"Chiasson, A., Allard, M., St-amour, A. B., Mathon-Dufour, V., Aubé-michaud, S., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kangiqsujuaq, Québec, 109 pp., 2020."
CEN-095,CEN,WB_2014_F2_186-200,WB_2014_F2_186-200,WB_2014_F2,1.86,2,TRUE,5.32,41.96,NA,NA,52.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fine-grained,CH/CL/MH/ML,ML or CL,,1940.92,1475.87,31.51,NA,1086.24,NA,2.65,NA,NA,137.67,100.09,1786.8,1358.7,NA,delta_h-sigma_v,25,50,100,NA,NA,NA,NA,27.86,30.35,33.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Higher than 50% fine without LL and PL Data,CEN_2020e,"Chiasson, A., Allard, M., St-amour, A. B., Mathon-Dufour, V., Aubé-michaud, S., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kangiqsujuaq, Québec, 109 pp., 2020."
CEN-096,CEN,WB_2014_F2_200-214,WB_2014_F2_200-214,WB_2014_F2,2,2.14,TRUE,7.46,48.1,NA,NA,44.46,NA,23.464,15.01,8.454,0.013,0.099,0.168,inconclusive,NA,NA,Coarse-grained,SM or SC,SM or SC,,1993.49,1509.34,32.08,NA,1116.78,NA,2.65,NA,NA,137.73,100.88,1785,1351.5,NA,delta_h-sigma_v,25,50,100,NA,NA,NA,NA,41.5,43.4,45.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,CEN_2020e,"Chiasson, A., Allard, M., St-amour, A. B., Mathon-Dufour, V., Aubé-michaud, S., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kangiqsujuaq, Québec, 109 pp., 2020."
CEN-097,CEN,WB_2014_F2_220-228,WB_2014_F2_220-228,WB_2014_F2,2.2,2.28,TRUE,8.28,47.65,NA,NA,44.08,NA,20.622,13.903,6.719,0.012,0.109,0.187,inconclusive,NA,NA,Coarse-grained,SM or SC,SM or SC,,1239,1022.69,21.15,NA,632.548,NA,2.65,NA,NA,84.2,98.53,1958.7,1616.8,NA,delta_h-sigma_v,25,50,100,NA,NA,NA,NA,12.61,14.07,16.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,CEN_2020e,"Chiasson, A., Allard, M., St-amour, A. B., Mathon-Dufour, V., Aubé-michaud, S., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kangiqsujuaq, Québec, 109 pp., 2020."
CEN-098,CEN,WB_2014_F2_228-242,WB_2014_F2_228-242,WB_2014_F2,2.28,2.42,TRUE,9.04,46.57,NA,NA,44.39,NA,NA,NA,NA,0.01,0.109,0.211,inconclusive,NA,NA,Coarse-grained,SM or SC,SM or SC,,2141.4,1787.52,19.8,NA,1091.51,NA,2.65,NA,NA,145.6,97.24,1961.9,1637.7,NA,delta_h-sigma_v,25,50,100,NA,NA,NA,NA,23.9,26.69,29.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Higher than 5% fine without LL and PL Data,CEN_2020e,"Chiasson, A., Allard, M., St-amour, A. B., Mathon-Dufour, V., Aubé-michaud, S., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kangiqsujuaq, Québec, 109 pp., 2020."
CEN-099,CEN,WB_2014_F2_253-267,WB_2014_F2_253-267,WB_2014_F2,2.53,2.67,TRUE,8.45,43.41,NA,NA,48.15,NA,22.15,12.4,9.75,0.009,0.086,0.151,inconclusive,NA,NA,Coarse-grained,SM or SC,SM or SC,,2179.54,1840.83,18.4,NA,1086.59,NA,2.65,NA,NA,143.44,99.74,2005.9,1694.1,NA,delta_h-sigma_v,25,50,100,NA,NA,NA,NA,20.97,23.02,26.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,CEN_2020e,"Chiasson, A., Allard, M., St-amour, A. B., Mathon-Dufour, V., Aubé-michaud, S., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kangiqsujuaq, Québec, 109 pp., 2020."
